pathogen,split,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,epidemic_duration,vaccinations_administered
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,73398.1258104436,320.04738479645243,73397,309,92938.88695215796
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,68762.80958209618,273.7097673460682,68762,344,96721.2022681405
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,79516.87335147901,389.34464906420214,79516,273,83019.66962965946
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,73149.60730201539,317.52733869627446,73149,307,94080.54853263928
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,68015.46690591879,266.82018085254083,68014,345,97823.4454928868
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,79500.11460178497,389.1320184195249,79499,273,82876.19511717453
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,73323.51039161702,319.27632397023586,73322,309,93266.25779708184
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,68655.72672990731,272.7165243946513,68654,345,96999.67435217234
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,79512.92012396938,389.2979081541714,79512,273,83080.66970331856
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,73112.5436608496,317.1491664080585,73112,308,94364.9556788474
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,67954.32984080471,266.2664594847057,67953,346,98015.61809825522
sarscov2,"[0.0, 0.65, 0.35000000000000003]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,79949.43010359965,394.6084066409061,79949,271,81701.76998631057
